station area Latitude Longitude city
木南公園 文山區 24.98662 121.57071 台北市
實踐國中(木新路三段310巷口) 文山區 24.98339 121.55645 台北市
師範大學公館校區_1 文山區 25.00753 121.53719 台北市
捷運動物園站(2號出口) 文山區 24.99766 121.57875 台北市
政大水岸電梯 文山區 24.982 121.5717 台北市
敦南山林 文山區 25.00264 121.5768 台北市
景美污水抽水站 文山區 25.01076 121.53637 台北市
萬和三號公園(北側) 文山區 25.00345 121.53636 台北市
景興國中 文山區 24.99609 121.54284 台北市
景仁公園_1 文山區 24.9966 121.5403 台北市
師大公館校區學二舍 文山區 25.00825 121.53419 台北市
景行公園 文山區 24.99279 121.54255 台北市
萬興國小 文山區 24.98939 121.57682 台北市
辛亥路四段77巷口 文山區 25.00743 121.55877 台北市
景興路42巷口 文山區 24.99696 121.54454 台北市
木柵路三段48巷 文山區 24.98768 121.56565 台北市
木柵路二段109巷 文山區 24.98944 121.56195 台北市
試院公園 文山區 24.98808 121.54723 台北市
樟樹公園 文山區 24.9825 121.55949 台北市
萬美萬安街口 文山區 25.00223 121.57039 台北市
興隆路二段203巷(敦南) 文山區 25.00198 121.54856 台北市
新光秀明路口 文山區 24.99197 121.57371 台北市
光輝路134巷口 文山區 24.98532 121.55831 台北市
光輝公園 文山區 24.98655 121.5552 台北市
木新公園 文山區 24.98217 121.55782 台北市
興隆路二段275巷1弄口 文山區 25.00268 121.55277 台北市
臺北自來水事業處 中正區 25.013741 121.53068 台北市
汀州思源街口東南側 中正區 25.014697 121.531908 台北市
捷運公館站(1號出口) 中正區 25.014529 121.534374 台北市
捷運公館站(4號出口) 中正區 25.015069 121.533828 台北市
捷運古亭站(9號出口) 中正區 25.02694 121.52224 台北市
捷運古亭站(2號出口) 中正區 25.0255 121.52346 台北市
捷運臺電大樓站(1號出口) 中正區 25.0197 121.529 台北市
客家文化主題公園 中正區 25.02069 121.52456 台北市
河堤國小 中正區 25.02277 121.52289 台北市
紀州庵 中正區 25.02092 121.52049 台北市
捷運臺電大樓站(5號出口) 中正區 25.02075 121.52771 台北市
捷運臺電大樓站(4號出口) 中正區 25.02102 121.52751 台北市
羅斯福三段金門街口 中正區 25.02345 121.52498 台北市
牯嶺公園 中正區 25.02338 121.51889 台北市
捷運古亭站(8號出口) 中正區 25.02701 121.52164 台北市
捷運古亭站(7號出口) 中正區 25.02805 121.52155 台北市
南昌公園 中正區 25.02698 121.52081 台北市
和平重慶路口 中正區 25.02723 121.51659 台北市
孫立人將軍官邸 中正區 25.02933 121.51854 台北市
羅斯福路二段6巷口 中正區 25.02923 121.52058 台北市
金華杭州南路口 中正區 25.031 121.52211 台北市
捷運中正紀念堂站(3號出口) 中正區 25.03239 121.51866 台北市
捷運中正紀念堂站(4號出口) 中正區 25.03376 121.51772 台北市
重慶南海路口西南側 中正區 25.03124 121.51459 台北市
螢橋國小 中正區 25.02626 121.51402 台北市
古亭智慧圖書館 中正區 25.02543 121.51052 台北市
永昌公園 中正區 25.02643 121.50936 台北市
